,month,interest,principal,loan balance,total_interest,monthly_payment
163,164.0,460.47,855.94,210501.77999999994,97787.08000000002,1316.41
164,165.0,458.6,857.81,209645.83999999994,98245.68000000002,1316.41
165,166.0,456.72,859.69,208788.02999999994,98702.40000000002,1316.41
166,167.0,454.84,861.57,207928.33999999994,99157.24000000002,1316.41
167,168.0,452.96,863.45,207066.76999999993,99610.20000000003,1316.41
168,169.0,451.07,865.34,206203.31999999992,100061.27000000003,1316.41
169,170.0,449.18,867.23,205337.97999999992,100510.45000000003,1316.41
170,171.0,447.28,869.13,204470.7499999999,100957.73000000003,1316.41
171,172.0,445.38,871.03,203601.6199999999,101403.11000000003,1316.41
172,173.0,443.47,872.94,202730.5899999999,101846.58000000003,1316.41
173,174.0,441.56,874.85,201857.6499999999,102288.14000000003,1316.41
174,175.0,439.65,876.76,200982.7999999999,102727.79000000002,1316.41
175,176.0,437.73,878.68,200106.0399999999,103165.52000000002,1316.41
176,177.0,435.81,880.6,199227.3599999999,103601.33000000002,1316.41
177,178.0,433.88,882.53,198346.7599999999,104035.21000000002,1316.41
178,179.0,431.95,884.46,197464.2299999999,104467.16000000002,1316.41
179,180.0,430.02,886.39,196579.7699999999,104897.18000000002,1316.41
180,181.0,428.08,888.33,195693.3799999999,105325.26000000002,1316.41
181,182.0,426.14,890.27,194805.0499999999,105751.40000000002,1316.41
182,183.0,424.19,892.22,193914.7799999999,106175.59000000003,1316.41
183,184.0,422.24,894.17,193022.5599999999,106597.83000000003,1316.41
184,185.0,420.28,896.13,192128.3899999999,107018.11000000003,1316.41
185,186.0,418.32,898.09,191232.2599999999,107436.43000000004,1316.41
186,187.0,416.36,900.05,190334.1699999999,107852.79000000004,1316.41
187,188.0,414.39,902.02,189434.1199999999,108267.18000000004,1316.41
188,189.0,412.41,904.0,188532.09999999992,108679.59000000004,1316.41
189,190.0,410.44,905.97,187628.09999999992,109090.03000000004,1316.41
190,191.0,408.45,907.96,186722.12999999992,109498.48000000004,1316.41
191,192.0,406.47,909.94,185814.16999999993,109904.95000000004,1316.41
192,193.0,404.48,911.93,184904.22999999992,110309.43000000004,1316.41
193,194.0,402.48,913.93,183992.29999999993,110711.91000000003,1316.41
194,195.0,400.48,915.93,183078.36999999994,111112.39000000003,1316.41
195,196.0,398.48,917.93,182162.43999999994,111510.87000000002,1316.41
196,197.0,396.47,919.94,181244.50999999995,111907.34000000003,1316.41
197,198.0,394.46,921.95,180324.56999999995,112301.80000000003,1316.41
198,199.0,392.44,923.97,179402.61999999994,112694.24000000003,1316.41
199,200.0,390.42,925.99,178478.64999999994,113084.66000000003,1316.41
200,201.0,388.4,928.01,177552.65999999995,113473.06000000003,1316.41
201,202.0,386.37,930.04,176624.64999999994,113859.43000000002,1316.41
202,203.0,384.33,932.08,175694.60999999993,114243.76000000002,1316.41
203,204.0,382.29,934.12,174762.52999999994,114626.05000000002,1316.41
204,205.0,380.25,936.16,173828.40999999995,115006.30000000002,1316.41
205,206.0,378.2,938.21,172892.24999999994,115384.50000000001,1316.41
206,207.0,376.15,940.26,171954.03999999995,115760.65000000001,1316.41
207,208.0,374.09,942.32,171013.77999999994,116134.74,1316.41
208,209.0,372.03,944.38,170071.45999999993,116506.77,1316.41
209,210.0,369.97,946.44,169127.07999999993,116876.74,1316.41
210,211.0,367.9,948.51,168180.63999999993,117244.64,1316.41
211,212.0,365.82,950.59,167232.12999999992,117610.46,1316.41
212,213.0,363.74,952.67,166281.53999999992,117974.20000000001,1316.41
213,214.0,361.66,954.75,165328.8699999999,118335.86000000002,1316.41
214,215.0,359.57,956.84,164374.1199999999,118695.43000000002,1316.41
215,216.0,357.48,958.93,163417.2799999999,119052.91000000002,1316.41
216,217.0,355.38,961.03,162458.34999999992,119408.29000000002,1316.41
217,218.0,353.28,963.13,161497.31999999992,119761.57000000002,1316.41
218,219.0,351.17,965.24,160534.18999999992,120112.74000000002,1316.41
219,220.0,349.06,967.35,159568.94999999992,120461.80000000002,1316.41
220,221.0,346.94,969.47,158601.59999999992,120808.74000000002,1316.41
221,222.0,344.82,971.59,157632.12999999992,121153.56000000003,1316.41
222,223.0,342.69,973.72,156660.53999999992,121496.25000000003,1316.41
223,224.0,340.56,975.85,155686.81999999992,121836.81000000003,1316.41
224,225.0,338.43,977.98,154710.9699999999,122175.24000000002,1316.41
225,226.0,336.29,980.12,153732.9899999999,122511.53000000001,1316.41
226,227.0,334.15,982.26,152752.8699999999,122845.68000000001,1316.41
227,228.0,332.0,984.41,151770.6099999999,123177.68000000001,1316.41
228,229.0,329.84,986.57,150786.1999999999,123507.52,1316.41
229,230.0,327.69,988.72,149799.6299999999,123835.21,1316.41
230,231.0,325.52,990.89,148810.9099999999,124160.73000000001,1316.41
231,232.0,323.36,993.05,147820.01999999987,124484.09000000001,1316.41
232,233.0,321.18,995.23,146826.96999999988,124805.27,1316.41
233,234.0,319.01,997.4,145831.73999999987,125124.28,1316.41
234,235.0,316.83,999.58,144834.33999999988,125441.11,1316.41
235,236.0,314.64,1001.77,143834.7599999999,125755.75,1316.41
236,237.0,312.45,1003.96,142832.9899999999,126068.2,1316.41
237,238.0,310.25,1006.16,141829.0299999999,126378.45,1316.41
238,239.0,308.05,1008.36,140822.8699999999,126686.5,1316.41
239,240.0,305.84,1010.57,139814.50999999992,126992.34,1316.41
240,241.0,303.63,1012.78,138803.93999999992,127295.97,1316.41
241,242.0,301.42,1014.99,137791.15999999992,127597.39,1316.41
242,243.0,299.2,1017.21,136776.16999999993,127896.59,1316.41
243,244.0,296.97,1019.44,135758.95999999993,128193.56,1316.41
244,245.0,294.74,1021.67,134739.51999999993,128488.3,1316.41
245,246.0,292.51,1023.9,133717.84999999992,128780.81,1316.41
246,247.0,290.27,1026.14,132693.94999999992,129071.08,1316.41
247,248.0,288.02,1028.39,131667.8099999999,129359.1,1316.41
248,249.0,285.77,1030.64,130639.41999999991,129644.87000000001,1316.41
249,250.0,283.52,1032.89,129608.77999999991,129928.39000000001,1316.41
250,251.0,281.26,1035.15,128575.88999999991,130209.65000000001,1316.41
251,252.0,279.0,1037.41,127540.73999999992,130488.65000000001,1316.41
252,253.0,276.73,1039.68,126503.32999999991,130765.38,1316.41
253,254.0,274.45,1041.96,125463.64999999992,131039.83,1316.41
254,255.0,272.17,1044.24,124421.68999999992,131312.0,1316.41
255,256.0,269.89,1046.52,123377.44999999991,131581.89,1316.41
256,257.0,267.6,1048.81,122330.9299999999,131849.49000000002,1316.41
257,258.0,265.3,1051.11,121282.11999999991,132114.79,1316.41
258,259.0,263.01,1053.4,120231.00999999991,132377.80000000002,1316.41
259,260.0,260.7,1055.71,119177.60999999991,132638.50000000003,1316.41
260,261.0,258.39,1058.02,118121.8999999999,132896.89000000004,1316.41
261,262.0,256.08,1060.33,117063.8799999999,133152.97000000003,1316.41
262,263.0,253.76,1062.65,116003.5499999999,133406.73000000004,1316.41
263,264.0,251.43,1064.98,114940.8999999999,133658.16000000003,1316.41
264,265.0,249.1,1067.31,113875.91999999991,133907.26000000004,1316.41
265,266.0,246.77,1069.64,112808.60999999991,134154.03000000003,1316.41
266,267.0,244.43,1071.98,111738.96999999991,134398.46000000002,1316.41
267,268.0,242.08,1074.33,110666.98999999992,134640.54,1316.41
268,269.0,239.73,1076.68,109592.65999999992,134880.27000000002,1316.41
